Site,Date,Hour,Temperature,Dewpoint,RH,WindDir,Windspeed,CldFrac,MSLP,Weather,Precip,Source
KLAX,1/1/2015 0:00:00,0,46,20,36,60,3,0.1,30.06,FEW,0.00,NCDC
KLAX,1/1/2015 0:00:00,1,42,22,45,80,3,0.1,30.06,FEW,0.00,NCDC
KLAX,1/1/2015 0:00:00,2,39,25,57,110,3,0.1,30.07,FEW,0.00,NCDC
KLAX,1/1/2015 0:00:00,3,39,25,57,80,3,0.1,30.07,FEW,0.00,NCDC
KLAX,1/1/2015 0:00:00,4,39,25,57,110,5,0.1,30.08,FEW,0.00,NCDC
KLAX,1/1/2015 0:00:00,5,37,25,62,90,8,0.1,30.09,FEW,0.00,NCDC
KLAX,1/1/2015 0:00:00,6,37,24,59,80,7,0,30.11,CLR,0.00,NCDC
KLAX,1/1/2015 0:00:00,7,37,24,59,80,6,0.4,30.13,SCT,0.00,NCDC
KLAX,1/1/2015 0:00:00,8,41,24,51,80,6,0,30.14,CLR,0.00,NCDC
KLAX,1/1/2015 0:00:00,9,46,24,42,60,7,0,30.16,CLR,0.00,NCDC
KLAX,1/1/2015 0:00:00,10,50,25,38,60,8,0,30.17,CLR,0.00,NCDC
KLAX,1/1/2015 0:00:00,11,52,28,40,90,8,0,30.16,CLR,0.00,NCDC
KLAX,1/1/2015 0:00:00,12,55,32,42,110,7,0,30.13,CLR,0.00,NCDC
KLAX,1/1/2015 0:00:00,13,55,35,47,VR,5,0,30.11,CLR,0.00,NCDC
KLAX,1/1/2015 0:00:00,14,56,36,47,270,7,0,30.11,CLR,0.00,NCDC
KLAX,1/1/2015 0:00:00,15,56,35,45,250,9,0,30.10,CLR,0.00,NCDC
KLAX,1/1/2015 0:00:00,16,55,37,51,270,8,0.1,30.12,FEW,0.00,NCDC
KLAX,1/1/2015 0:00:00,17,53,39,59,250,7,0.1,30.12,FEW,0.00,NCDC
KLAX,1/1/2015 0:00:00,18,52,38,59,260,5,0.1,30.13,FEW,0.00,NCDC
KLAX,1/1/2015 0:00:00,19,52,40,64,250,3,0,30.14,CLR,0.00,NCDC
KLAX,1/1/2015 0:00:00,20,50,40,69,0,0,0,30.14,CLR,0.00,NCDC
KLAX,1/1/2015 0:00:00,21,50,39,66,0,0,0,30.14,CLR,0.00,NCDC
KLAX,1/1/2015 0:00:00,22,50,39,66,VR,3,0,30.14,CLR,0.00,NCDC
KLAX,1/1/2015 0:00:00,23,47,38,71,80,3,0,30.14,CLR,0.00,NCDC
KLAX,1/2/2015 0:00:00,0,46,36,68,80,3,0,30.14,CLR,0.00,NCDC
KLAX,1/2/2015 0:00:00,1,46,36,68,80,5,0,30.13,CLR,0.00,NCDC
KLAX,1/2/2015 0:00:00,2,43,35,73,0,0,0,30.14,CLR,0.00,NCDC
KLAX,1/2/2015 0:00:00,3,42,35,76,0,0,0,30.13,CLR,0.00,NCDC
KLAX,1/2/2015 0:00:00,4,41,35,79,0,0,0,30.12,CLR,0.00,NCDC
KLAX,1/2/2015 0:00:00,5,40,34,79,100,3,0,30.12,CLR,0.00,NCDC
KLAX,1/2/2015 0:00:00,6,39,33,79,0,0,0,30.13,CLR,0.00,NCDC
KLAX,1/2/2015 0:00:00,7,39,31,73,100,6,0,30.14,CLR,0.00,NCDC
KLAX,1/2/2015 0:00:00,8,42,33,71,120,3,0.1,30.16,FEW,0.00,NCDC
KLAX,1/2/2015 0:00:00,9,46,32,58,100,5,0.1,30.17,FEW,0.00,NCDC
KLAX,1/2/2015 0:00:00,10,50,32,50,110,3,0.1,30.17,FEW,0.00,NCDC
KLAX,1/2/2015 0:00:00,11,54,37,53,0,0,0.1,30.15,FEW,0.00,NCDC
KLAX,1/2/2015 0:00:00,12,55,39,55,290,8,0.1,30.12,FEW,0.00,NCDC
KLAX,1/2/2015 0:00:00,13,55,42,62,260,7,0.4,30.09,SCT,0.00,NCDC
KLAX,1/2/2015 0:00:00,14,56,43,62,250,8,0.4,30.07,SCT,0.00,NCDC
KLAX,1/2/2015 0:00:00,15,56,43,62,290,8,0.4,30.07,SCT,0.00,NCDC
KLAX,1/2/2015 0:00:00,16,55,42,62,260,9,0.4,30.08,SCT,0.00,NCDC
KLAX,1/2/2015 0:00:00,17,54,41,62,240,8,0.4,30.09,SCT,0.00,NCDC
KLAX,1/2/2015 0:00:00,18,53,42,66,260,6,0.4,30.10,SCT,0.00,NCDC
KLAX,1/2/2015 0:00:00,19,53,42,66,250,5,0.4,30.11,SCT,0.00,NCDC
KLAX,1/2/2015 0:00:00,20,52,42,69,250,6,0,30.14,CLR,0.00,NCDC
KLAX,1/2/2015 0:00:00,21,50,43,77,VR,3,0.1,30.14,FEW,0.00,NCDC
KLAX,1/2/2015 0:00:00,22,50,43,77,0,0,0.1,30.16,FEW,0.00,NCDC
KLAX,1/2/2015 0:00:00,23,49,42,77,100,5,0.1,30.16,FEW,0.00,NCDC
KLAX,1/3/2015 0:00:00,0,47,40,77,100,6,0,30.16,CLR,0.00,NCDC
KLAX,1/3/2015 0:00:00,1,45,39,80,100,5,0,30.15,CLR,0.00,NCDC
KLAX,1/3/2015 0:00:00,2,46,37,71,50,5,0,30.17,CLR,0.00,NCDC
KLAX,1/3/2015 0:00:00,3,44,38,80,60,3,0,30.17,CLR,0.00,NCDC
KLAX,1/3/2015 0:00:00,4,43,38,83,80,3,0,30.16,CLR,0.00,NCDC
KLAX,1/3/2015 0:00:00,5,43,37,79,0,0,0,30.17,CLR,0.00,NCDC
KLAX,1/3/2015 0:00:00,6,43,36,76,90,5,0,30.18,CLR,0.00,NCDC
KLAX,1/3/2015 0:00:00,7,43,35,73,90,3,0.1,30.21,FEW,0.00,NCDC
KLAX,1/3/2015 0:00:00,8,46,36,68,60,6,0.1,30.24,FEW,0.00,NCDC
KLAX,1/3/2015 0:00:00,9,48,37,66,80,6,0.1,30.25,FEW,0.00,NCDC
KLAX,1/3/2015 0:00:00,10,52,39,61,90,5,0.4,30.26,SCT,0.00,NCDC
KLAX,1/3/2015 0:00:00,11,55,42,62,120,5,0.4,30.24,SCT,0.00,NCDC
KLAX,1/3/2015 0:00:00,12,58,43,58,VR,3,0.4,30.22,SCT,0.00,NCDC
KLAX,1/3/2015 0:00:00,13,58,42,55,260,8,0.4,30.21,SCT,0.00,NCDC
KLAX,1/3/2015 0:00:00,14,58,45,62,250,8,0.4,30.21,SCT,0.00,NCDC
KLAX,1/3/2015 0:00:00,15,57,45,64,270,10,0,30.21,CLR,0.00,NCDC
KLAX,1/3/2015 0:00:00,16,57,46,67,260,11,0.1,30.23,FEW,0.00,NCDC
KLAX,1/3/2015 0:00:00,17,55,46,72,260,10,0.1,30.24,FEW,0.00,NCDC
KLAX,1/3/2015 0:00:00,18,55,47,75,270,8,0.1,30.25,FEW,0.00,NCDC
KLAX,1/3/2015 0:00:00,19,54,47,77,270,9,0,30.27,CLR,0.00,NCDC
KLAX,1/3/2015 0:00:00,20,55,47,75,VR,5,0,30.27,CLR,0.00,NCDC
KLAX,1/3/2015 0:00:00,21,54,47,77,0,0,0,30.28,CLR,0.00,NCDC
KLAX,1/3/2015 0:00:00,22,53,46,77,0,0,0,30.27,CLR,0.00,NCDC
KLAX,1/3/2015 0:00:00,23,51,45,80,0,0,0,30.29,CLR,0.00,NCDC
KLAX,1/4/2015 0:00:00,0,50,44,80,90,3,0,30.29,CLR,0.00,NCDC
KLAX,1/4/2015 0:00:00,1,48,43,83,40,3,0,30.29,CLR,0.00,NCDC
KLAX,1/4/2015 0:00:00,2,48,42,80,VR,3,0,30.29,CLR,0.00,NCDC
KLAX,1/4/2015 0:00:00,3,46,41,83,60,3,0,30.30,CLR,0.00,NCDC
KLAX,1/4/2015 0:00:00,4,45,40,83,110,3,0,30.28,CLR,0.00,NCDC
KLAX,1/4/2015 0:00:00,5,45,40,83,70,3,0,30.28,CLR,0.00,NCDC
KLAX,1/4/2015 0:00:00,6,45,39,80,0,0,0,30.30,CLR,0.00,NCDC
